Open,High,Low,Volume,Close
8431.49,8709.6,8247.17,101809232,8577.1
8577.1,8792.68,8466.57,156963008,8631.39
8631.39,8960.64,8631.39,165984048,8960.64
8960.64,8989.63,8724.29,177659872,8818.09
8818.09,8904.67,8626.56,121463424,8822.63
8822.63,9305.31,8761.92,173213760,9305.31
9305.31,9789.86,9305.31,219246656,9667.37
9667.37,9812.38,9444.99,171675152,9578.17
9578.17,9578.17,9215.17,92424392,9342.87
9342.87,9916.37,9342.87,146601744,9915.52
9915.52,10061.5,9631.26,116452552,9919.81
9919.81,9919.81,9584.24,97794056,9848.76
9848.76,10052.7,9567.21,143754496,9634.61
9634.61,10080.21,9624.09,145836080,10069.72
10069.72,10310.41,9864.28,187520624,10291.85
10291.85,10532.92,10143.8,187704224,10456.16
10456.16,10602.42,10213.41,167662464,10363.44
10363.44,10463.6,10239.18,137118784,10457.31
10457.31,10646.04,9991.95,146278656,10080.92
10080.92,10327.83,9964.28,96111520,10327.83
10327.83,10401.55,10062.81,125072408,10165.8
10165.8,10636.17,10165.8,150997552,10636.17
10636.17,11205.83,10610.66,246173120,11193.28
11193.28,11567.03,11094.39,208564416,11370.89
11370.89,12263.22,11370.89,269706368,12263.22
12263.22,12438.26,11674.41,304908992,11794.85
11794.85,11921.41,11490.43,168731664,11617.16
11617.16,12004.9,11617.16,149399232,11856.0
11856.0,11988.92,11581.74,118734376,11719.4
11719.4,12089.21,11618.78,157047584,12062.84
12062.84,12207.68,11630.37,166601136,11721.91
11721.91,11742.39,10927.38,176504688,11129.27
11129.27,11152.41,10550.91,206823584,10961.03
10961.03,11633.93,10832.16,194995184,11633.93
11633.93,11660.09,11125.79,178236032,11467.24
11467.24,11492.54,11193.39,138582768,11308.43
11308.43,11930.64,11297.03,240828400,11930.64
11930.64,12687.29,11930.64,283051680,12687.29
12687.29,12842.68,12495.34,237050896,12662.84
12662.84,12938.33,12577.7,166644176,12645.29
12645.29,12645.29,12379.5,120301168,12549.85
12549.85,12731.83,12409.04,122185840,12719.11
12719.11,13045.31,12562.17,174209200,12655.77
12655.77,12761.86,12507.68,76886896,12761.86
12761.86,13069.02,12585.09,96672184,12788.89
12788.89,12788.89,12349.39,96495680,12679.17
12679.17,12721.2,12483.52,71041992,12721.2
12721.2,12802.82,12507.73,73579360,12686.33
12686.33,13005.69,12497.32,101045568,12875.79
12875.79,13201.65,12875.79,122287256,13068.43
13068.43,13608.99,13068.43,191800016,13608.99
13608.99,13961.26,13589.16,199428320,13782.76
14077.98,14077.98,13600.7,144222256,14077.98
14077.98,14273.75,14003.05,203478944,14272.67
14272.67,14999.51,14270.1,299805376,14999.51
14999.51,15071.84,14628.45,209211136,14878.91
14878.91,14999.83,13664.69,220440864,14042.8
14042.8,14333.31,13693.0,193760736,13818.59
13818.59,14039.26,13455.03,141976928,13616.21
13616.21,13913.98,13346.29,146585776,13638.55
13638.55,13701.39,13095.74,104918784,13348.01
13348.01,13349.79,12636.15,127356288,12758.91
12758.91,13117.28,12670.87,156689760,12893.57
12893.57,13209.36,12772.72,126312320,13012.2
13012.2,13066.38,12398.86,87587720,12629.37
12629.37,12753.17,12337.63,91413208,12639.15
12639.15,12951.67,12377.28,112369968,12910.24
12910.24,13123.38,12812.86,119153232,13026.08
13026.08,13038.3,12687.73,63393188,12871.1
12871.1,12871.1,12449.88,82095704,12764.55
12764.55,12867.0,12399.13,108325368,12514.98
12514.98,12649.35,12069.97,101983704,12539.01
12539.01,13252.32,12539.01,150831904,13252.32
13252.32,13500.29,13131.62,144498752,13375.36
13375.36,13375.36,12908.46,73859112,13074.69
13074.69,13141.81,12433.57,96464760,12520.61
12520.61,12603.94,12064.8,95547784,12257.41
12257.41,12306.51,11579.94,109160872,11702.06
11702.06,11702.06,10775.2,150330480,11255.27
11255.27,11675.15,11227.86,99663608,11675.15
11675.15,11883.29,11386.11,122804712,11616.25
11616.25,11977.06,11616.25,110823520,11826.87
11826.87,11895.58,11600.07,74333672,11845.33
11845.33,11859.85,11409.61,85626744,11478.59
11478.59,11482.37,11034.42,50298788,11270.72
11270.72,11526.4,11097.4,69982784,11517.28
11517.28,11517.28,10957.2,62617764,11091.91
11091.91,11256.25,11091.91,18948586,11165.82
11165.82,11395.36,10825.12,58796188,10931.75
10931.75,11188.49,10715.81,50146396,11186.75
11186.75,11206.98,10825.23,72827016,11055.67
11055.67,11487.96,11024.56,102161984,11470.86
11470.86,11772.3,11470.86,114824576,11665.3
11665.3,11758.52,11355.64,93273272,11418.64
11418.64,11503.0,11242.12,52775036,11346.69
11346.69,11968.42,11346.69,157815728,11621.16
11621.16,11704.93,11406.86,62115984,11704.93
11704.93,11705.77,11256.99,58974696,11336.31
11336.31,11336.31,10745.26,81575096,10842.11
10842.11,10970.77,10488.82,68516296,10594.02
10594.02,10932.68,10468.25,0,10614.28
10614.28,10832.45,10480.54,67683936,10771.86
10771.86,10826.54,10443.81,45737204,10604.9
10604.9,10731.08,10539.91,49324632,10643.7
10643.7,10921.47,10643.7,74497536,10776.31
10776.31,11484.98,10685.32,149246816,11471.06
11471.06,11849.22,11394.04,234056784,11791.59
11791.59,12016.53,11664.43,160659568,12016.53
12016.53,12016.53,11579.82,147489104,11639.28
11639.28,11961.5,11614.73,131236720,11862.56
11862.56,12173.12,11714.75,179289824,11808.74
11808.74,11822.84,11548.14,71689760,11679.43
11679.43,11679.43,11370.55,0,11621.55
11621.55,11827.22,11554.3,93417984,11827.22
11827.22,11859.25,11182.31,122325832,11276.94
11276.94,11796.06,11276.94,122883712,11796.06
11796.06,11863.5,11675.42,0,11863.5
11863.5,12077.99,11321.22,189339264,11455.88
11455.88,11904.49,11449.79,134271312,11904.49
11904.49,12089.24,11648.85,179441040,12030.94
12030.94,12472.33,12030.94,229604944,12257.3
12257.3,12362.31,12073.2,115831768,12240.23
12240.23,12605.92,12221.75,121561216,12605.92
12605.92,12676.4,11983.88,192642992,12220.26
12220.26,12367.6,12052.47,126953896,12263.26
12263.26,12343.49,11904.74,123297224,12010.09
12010.09,12037.4,11695.52,91044208,11970.94
11970.94,11970.94,11659.24,46140780,11759.72
11759.72,11837.48,11450.95,73043992,11775.13
11775.13,11873.94,11625.31,65945188,11800.49
11800.49,12050.34,11699.58,83683144,12041.19
12041.19,12041.19,11517.46,84435264,11657.26
11657.26,11734.2,11347.19,73431880,11441.5
11441.5,11590.66,11300.74,49140560,11479.72
11479.72,11623.14,11207.52,57550268,11321.9
11321.9,11469.04,11253.57,46003584,11469.04
11469.04,11469.04,11206.35,47390512,11447.25
